word,tfidf,label
punish,0.5471014642899638,-1
cover,0.5646746482016943,-1
global,0.7098596857435464,-1
arena,0.6145201717054904,-1
highest,0.5773502691896257,-1
hold,0.4988757639052419,-1
grant,0.5686831572712185,-1
testing,0.5552508488345274,-1
understanding,0.6349035407094606,-1
podium,0.6577243635670391,-1
tear,0.540293583071151,-1
effort,1.0,-1
volunteer,0.6231346809560377,-1
fight,0.7110745350434606,-1
body,0.7135391806258655,-1
young,1.0,-1
map,0.6168905736019841,-1
push,0.7510235760489258,-1
wartime,0.6341660637678164,-1
helicopter,0.6188330248899601,-1
fragile,0.6557451413635748,-1
shelled,0.6765518724069997,-1
plant,0.6568362174376388,-1
rain,0.5064587535791407,-1
marry,0.7562968467299893,-1
invasion,0.7109400074299079,-1
disease,0.7469728849552487,-1
life,1.0,-1
sound,0.7817691631653954,-1
older,0.6054241966870568,-1
convoy,0.6024530016849321,-1
sophisticated,1.0,-1
fort,0.4551116781996927,-1
campion,0.4746579030149436,-1
bread,0.5337206237355953,-1
identity,0.7657627565750784,-1
embracing,1.0,-1
theyre,0.8076685284172825,-1
bowler,0.5946055344627348,-1
buzzing,0.5411987887437789,-1
perry,0.5243183978551986,-1
bronze,0.7079423641131071,-1
anyone,0.5311384955820097,-1
area,0.6359809951327293,-1
living,0.6104634503595121,-1
eye,0.6006202283010339,-1
booster,0.6445820047844918,-1
mask,0.5932085174635672,-1
look,1.0,-1
map,0.6168905736019841,-1
rest,0.7881218431219582,-1
free,0.5624355617896549,-1
abroad,0.653906963375928,-1
dead,1.0,-1
danger,0.6361013155846453,-1
caught,0.5898220433046877,-1
man,1.0,-1
thrash,0.794906274962364,-1
small,0.5507303743485897,-1
fled,0.7721917977488197,-1
panther,0.8014010037373762,-1
extend,0.567525695477069,-1
actress,0.8128708379176585,-1
copyright,0.6795550947092556,-1
grime,0.5306361180450163,-1
suspected,0.6423054660551218,-1
scan,0.5382373485420997,-1
corrie,0.6728633097594247,-1
economic,0.5769445797205477,-1
pick,0.5177463293246704,-1
rest,0.7881218431219582,-1
added,0.49490482498662974,-1
standing,0.5875659617887968,-1
hell,0.7281672733293347,-1
address,0.7379277858757342,-1
criticism,0.5257441920310385,-1
boycott,0.6132786810115782,-1
tornado,0.6744212599565409,-1
understanding,0.6349035407094606,-1
prowar,0.6170574068074554,-1
calais,0.7203374099593913,-1
finally,0.7612113471746815,-1
servant,0.5909718725565903,-1
bullying,0.5208194741049221,-1
clarity,0.537577093215384,-1
positive,0.6361802119135478,-1
supply,0.5722106905843543,-1
scheme,0.5772719327514666,-1
income,0.48691208214647475,-1
billion,0.6530365266173824,-1
earth,0.5940818670056247,-1
study,0.4971204387434711,-1
five,0.6924204005458915,-1
financial,0.5763927124239185,-1
exhaustion,0.7102707638284159,-1
hoax,0.5651561578271445,-1
offer,0.6066099096264308,-1
vera,0.6326806161800318,-1
period,0.6558152027646861,-1
war,1.0,-1
femicide,0.4980252675166822,-1
misogyny,0.5927454536726977,-1
kidney,0.6863258549704843,-1
revive,0.5151567274624675,-1
small,0.5507303743485897,-1
cup,0.7499615947522167,-1
franchise,0.7098341254217962,-1
chair,0.6650572450357951,-1
root,0.7609098873518353,-1
woman,1.0,-1
brain,0.6070289444267066,-1
liquid,0.6704370443436806,-1
rematch,0.5529715483182772,-1
help,0.5618315553519432,-1
curb,0.5187338032352238,-1
response,0.6398767485312099,-1
sanction,0.8159668293905347,-1
appeal,1.0,-1
plane,0.763430528078019,-1
bombardment,0.6462323091139486,-1
pupil,0.6077533151992162,-1
early,0.5039759408285736,-1
scam,0.550992466673232,-1
settlement,0.8647702212195257,-1
life,1.0,-1
reliant,0.6029358279845598,-1
treat,0.6073820291836399,-1
shipment,0.5471747970200086,-1
whose,0.5094518404577072,-1
met,0.748594797315132,-1
channel,1.0,-1
full,0.6315219227247483,-1
wartime,0.6341660637678164,-1
advice,0.7327610144933397,-1
frozen,0.5173721862028767,-1
curfew,0.47652299141982984,-1
medic,0.6027435411067917,-1
office,0.5890250884233654,-1
grip,0.5653655494464208,-1
verge,1.0,-1
enough,0.6113724276847916,-1
exodus,0.640056839125299,-1
probe,0.750119798893998,-1
cup,0.7499615947522167,-1
ton,0.6770516113001604,-1
seven,0.587244764441057,-1
donate,0.5568529075832073,-1
march,0.6837343693642535,-1
dismiss,0.521892056669117,-1
chemical,0.6056501513128202,-1
tape,0.6558891407676349,-1
supply,0.5722106905843543,-1
era,0.6915766132305828,-1
recruiting,0.6385139385099502,-1
fund,0.7185549596381158,-1
rebuild,0.5891318122690224,-1
income,0.48691208214647475,-1
derailment,0.568259519328449,-1
burning,0.7398681569033517,-1
pull,0.5841170404048875,-1
real,0.8249167308002476,-1
evade,0.7569578179710612,-1
soviet,0.6146243215169729,-1
food,0.7054153639546098,-1
mode,0.7071067811865476,-1
understanding,0.6349035407094606,-1
low,0.6467788210142277,-1
dolly,0.5644733638062164,-1
invite,0.4770436913414288,-1
underwater,0.5273510304722211,-1
sticky,0.5790072888629139,-1
apart,0.5951833982797723,-1
refugee,1.0,-1
play,0.8560257017099426,-1
river,0.5935144685783421,-1
alone,0.6432736880757165,-1
better,0.5724830643244878,-1
bowler,0.5946055344627348,-1
fame,0.6212911821025847,-1
wealthy,0.6956149845496534,-1
eight,0.7541984092687867,-1
recovery,0.5188885411120863,-1
front,0.6811596482313286,-1
welcome,0.5687471737317524,-1
growing,0.7639897227601823,-1
block,0.5089189480289581,-1
allow,0.6165490135612591,-1
hoax,0.5651561578271445,-1
missile,0.8920555515966729,-1
war,1.0,-1
chant,0.6392913204934708,-1
higher,0.7509124573816062,-1
draft,0.48796420436715837,-1
education,0.6024743782743018,-1
troop,0.6365012352525898,-1
please,0.612208716227182,-1
crime,0.7072457125819903,-1
torturous,0.5740665147974612,-1
sanction,0.8159668293905347,-1
invasion,0.7109400074299079,-1
limit,0.6293759754977081,10
across,0.5725235595359353,10
